hostname,ip,score,ping,speed,country_long,country_short,sessions,uptime_days,total_users,total_traffic,log_type,operator,message
vpn720772320,180.15.22.98,1552450,9,342733462,Japan,JP,60,33609.8,358178,51860283095850,2weeks,gentoo's owner,
vpn981697033,113.145.230.120,1535425,21,557844700,Japan,JP,70,9652.1,79815,17755464870965,2weeks,DESKTOP-KJNPF8K's owner,
vpn284149796,60.113.188.170,1484715,4,169182177,Japan,JP,87,15684.9,79661,19873717492374,2weeks,HEAVY1214's owner,
vpn281122782,37.204.122.224,1482551,14,40438893,Russian Federation,RU,36,9815.4,39073,8659358736093,2weeks,DESKTOP-36Q2PEC's owner,
vpn615658214,126.66.244.34,1482101,8,25763413,Japan,JP,68,7687.0,345233,46428151089874,2weeks,DESKTOP-TBKN830's owner,
vpn981343449,180.198.226.39,1470017,13,29945505,Japan,JP,15,26584.3,55127,2060440352990,2weeks,DESKTOP-TTVT59N's owner,
vpn180458260,60.137.146.81,1460689,15,258586556,Japan,JP,24,36803.3,507729,55716583428351,2weeks,DESKTOP-F22MMOU's owner,
vpn106558468,70.69.200.251,1427015,16,80048376,Canada,CA,59,15684.9,783098,76596768823067,2weeks,DESKTOP-5RRMRS0's owner,
vpn286971640,113.145.249.52,1376017,25,33389285,Japan,JP,30,10789.5,35423,2706530145691,2weeks,DESKTOP-FCQ1MH4's owner,
vpn344414485,114.206.223.158,1349652,37,41963574,Korea Republic of,KR,63,89926.2,412760,65120412549898,2weeks,DESKTOP-KANG's owner,
vpn906340167,180.230.30.211,1342523,36,56689172,Korea Republic of,KR,38,20549.7,23129,2118240866103,2weeks,PJM's owner,
vpn776183153,42.82.223.31,1330649,37,92063480,Korea Republic of,KR,29,15684.9,373441,26667194118709,2weeks,DESKTOP-P7LFO6D's owner,
vpn157412522,58.77.30.57,1261950,92,82121950,Korea Republic of,KR,29,16569.0,35879,4582143454124,2weeks,win10-DY's owner,
vpn517286755,1.52.244.166,1261729,34,38861474,Viet Nam,VN,66,5564.2,648546,129500680800567,2weeks,CAM-PC's owner,
vpn657011480,116.94.89.17,1210106,21,501618867,Japan,JP,14,4866.8,130084,13113523847651,2weeks,DESKTOP-U88QTN9's owner,
vpn978565254,121.154.52.164,1185477,26,133716648,Korea Republic of,KR,4,4866.8,48759,7045229078397,2weeks,DESKTOP-NV39GM9's owner,
vpn221487938,126.57.124.52,1184086,11,31943819,Japan,JP,14,4699.9,144224,11635637774273,2weeks,user's owner,
vpn805797245,112.161.231.111,1064935,31,450280724,Korea Republic of,KR,1,4699.9,5014,572787098132,2weeks,DESKTOP-P3S2NKK's owner,
vpn481415171,110.66.191.52,1058518,5,1429450236,Japan,JP,105,2786.7,1095613,556337903114712,2weeks,naruto2's owner,
vpn338706179,116.126.253.211,1028508,33,672548817,Korea Republic of,KR,31,3651.5,300340,39213265708406,2weeks,DESKTOP-IF7MUGI's owner,
vpn779010151,180.71.127.177,972265,37,86198849,Korea Republic of,KR,7,3822.4,28950,2614968190962,2weeks,김신우's owner,
vpn451643961,210.178.21.143,968671,28,262302484,Korea Republic of,KR,8,3651.5,215903,22596559401613,2weeks,JungHwan's owner,
vpn372889393,131.147.172.243,950647,3,957189393,Japan,JP,15,2786.7,2928,1969744178098,2weeks,和希's owner,
vpn652870061,126.21.49.222,950218,4,508865259,Japan,JP,38,2615.6,434824,95639299238235,2weeks,DESKTOP-6LJ8RQP's owner,
vpn574608849,220.79.235.251,948176,28,72875202,Korea Republic of,KR,42,2786.7,60452,9548719146745,2weeks,DESKTOP-K5BIEKN's owner,
vpn111698412,112.214.34.62,905820,29,96949460,Korea Republic of,KR,3,2615.6,19080,2133724972689,2weeks,DESKTOP-KV5PHSV's owner,
vpn391095896,125.137.86.212,898130,33,58721566,Korea Republic of,KR,5,2786.7,7273,737407636211,2weeks,MDK's owner,
vpn137291997,58.186.195.68,854653,20,51570641,Viet Nam,VN,6,1672.9,2845,473062797255,2weeks,DESKTOP-OJBJ1U4's owner,
vpn468833361,60.108.251.162,823215,3,452990256,Japan,JP,29,1672.9,99781,20389930289833,2weeks,GamePlayPC's owner,
vpn133548335,58.190.26.235,810014,4,833154524,Japan,JP,19,1672.9,71285,18362907408213,2weeks,DESKTOP-AR0VN8R's owner,
vpn827401311,211.52.54.185,798140,28,353883739,Korea Republic of,KR,13,1672.9,15151,1189444557369,2weeks,Kanx's owner,
vpn205945405,220.102.47.93,793612,3,577167678,Japan,JP,7,1672.9,122074,22430799973669,2weeks,kws's owner,
vpn743566583,113.22.61.26,781160,22,545990160,Viet Nam,VN,86,797.4,376312,66370680165802,2weeks,DESKTOP-FU9JS83's owner,
vpn347415860,221.167.213.174,755510,31,79914596,Korea Republic of,KR,18,1672.9,846425,145757985934709,2weeks,DESKTOP-RKU1LP7's owner,
vpn922312929,113.22.61.26,742467,22,539830024,Viet Nam,VN,24,797.4,294501,48437612161361,2weeks,DESKTOP-N7T8LNP's owner,
vpn524454050,203.138.168.232,731485,4,97390550,Japan,JP,3,797.4,14235,1154549419742,2weeks,YK001's owner,
vpn306037816,59.142.40.235,726266,4,461351092,Japan,JP,69,797.4,82696,24319458594955,2weeks,nullPC's owner,
vpn936439418,118.155.140.137,723000,4,499985950,Japan,JP,7,797.4,77799,11918020145814,2weeks,FUSEN-home01's owner,
vpn899755348,126.220.11.179,720476,6,83512110,Japan,JP,17,590.2,43066,4627252645567,2weeks,DESKTOP-ERUU27B's owner,
vpn563740596,60.108.188.58,719806,7,82237496,Japan,JP,13,797.4,46146,2436071225648,2weeks,Amadeus's owner,
vpn571059552,110.66.90.105,717712,5,801024824,Japan,JP,4,590.2,126310,38146074282234,2weeks,DESKTOP-QTIS9T5's owner,
vpn334153435,118.87.121.178,717515,16,250524502,Japan,JP,4,797.4,50511,2857044914806,2weeks,TOSHIKI-PC's owner,
vpn715779327,210.20.202.235,704092,21,567979778,Japan,JP,2,590.2,38087,4094245593876,2weeks,DESKTOP-S3GCV4L's owner,
vpn415531016,184.22.8.27,697679,5,573545728,Thailand,TH,6,590.2,119134,36189787242907,2weeks,DESKTOP-GF77LHO's owner,
vpn906136029,113.22.192.253,694750,137,52878088,Viet Nam,VN,54,1672.9,59342,10161149392146,2weeks,DESKTOP-382Q7IS's owner,
vpn764604624,126.28.185.229,692286,3,289438134,Japan,JP,2,590.2,10911,1996015001060,2weeks,DESKTOP-TRSVPOD's owner,
laud,115.179.206.241,689206,25,62453362,Japan,JP,88,590.2,1040286,136168925613539,2weeks,Japan VPN,こんにちは! Hello! Здравствуйте! 你好! سلام (^_^)/
vpn957731948,138.64.103.210,681807,4,681994260,Japan,JP,7,590.2,58,37319217521,2weeks,DESKTOP-QSCIA16's owner,
vpn669010119,59.130.28.141,676710,14,248820488,Japan,JP,5,590.2,285923,41812465480217,2weeks,yuutatakeuchi's owner,
vpn821567141,180.33.123.227,668698,22,93683747,Japan,JP,3,797.4,13195,674135744404,2weeks,DESKTOP-M8PSMU8's owner,
